Boguwola;Boguwolo;K
Bohdan;Bohdanie;M
Bohdana;Bohdano;K
Bohusz;Bohuszu;M
Bolebor;Boleborze;M
Boleczest;Boleczeście;M
Bolemir;Bolemirze;M
Bolemysł;Bolemyślu;M
Bolesław;Bolesławie;M
Bolesława;Bolesławo;K
Bolisława;Bolisławo;K
Bonawentura;Bonawenturze;M
Bonifacy;Bonifacy;M
Bończa;Bończa;K
Borys;Borysie;M
Borysław;Borysławie;M
Borzymir;Borzymirze;M
Borzysław;Borzysławie;M
Borzysława;Borzysławo;K
Borzywoj;Borzywoju;M
Bożebor;Bożeborze;M
Bożeciech;Bożeciechu;M
Bożeciecha;Bożeciecho;K
Bożena;Bożeno;K
Bożydar;Bożydarze;M
Bożymierz;Bożymierzu;M
Bożysław;Bożysławie;M
Bożysława;Bożysławo;K
Bożywoj;Bożywoju;M
Bratumił;Bratumile;M
Bratumiła;Bratumiło;K
Brodzisław;Brodzisławie;M
Bronimir;Bronimirze;M
Bronisław;Bronisławie;M
Bronisława;Bronisławo;K
Bronisz;Broniszu;M
Broniwoj;Broniwoju;M
Bruno;Bruno;M
Brunon;Brunonie;M
Bryda;Brydo;K
Brygida;Brygido;K
Brykcjusz;Brykcjuszu;M
Budzigniew;Budzigniewie;M
Budzimir;Burzimirze;M
Budzisław;Budzisławie;M
Budzisława;Budzisławo;K
Budzisz;Budziszu;M
Budziwoj;Budziwoju;M
Burchard;Burchardzie;M
Carmen;Carmeno;K
Cecyl;Cecylu;M
Cecylia;Cecylio;K
Cecylian;Cecylianie;M
Cecyliusz;Cecyliuszu;M
Celestyn;Celestynie;M
Celestyna;Celestyno;K
Celina;Celino;K
Cezara;Cezarze;K
Cezariusz;Cezariuszu;M
Cezary;cezary;M
Cezaryna;Cezaryno;K
Charyzjusz;Charyzjuszu;M
Chociebor;Chocieborze;M
Chociemir;Chociemirze;M
Chociesław;Chociesławie;M
Chrystian;Chrystianie;M
Chryzant;Chryzancie;M
Chwalibóg;Chwaliboże;M
Chwalimir;Chwlimirze;M
Chwalimira;Chwalimiro;K
Chwalisław;Chwalisławie;M
Chwalisława;Chwalisławo;K
Cibor;Ciborze;M
Ciechomir;Ciechomirze;M
Ciechosław;Ciechosławii;M
Ciechosława;Ciechosławo;K
Cierpisław;Cierpisławie;M
Cieszybor;Cieszyborze;M
Cieszygor;Cieszygorze;M
Cieszymir;Cieszymirze;M
Cieszymysł;Cieszymyśle;M
Cieszyrad;Cieszyrardzie;M
Cieszysław;Cieszysławie;M
Cieszysława;Cieszysławo;K
Cyntia;Cyntio;K
Cyprian;Cyprianie;M
Cyriak;Cyriaku;M
Cyriaka;Cyriako;K
Cyrus;Cyrusie;M
Cyryl;Cyrylu;M
Czcibor;Czciborze;M
Czcibora;Czciboro;K
Czcirad;Czciradzie;M
Czcisław;Czcisławie;M
Czech;Czechu;M
Czechasz;Czechaszu;M
Czechoń;Czechoniu;M
Czesemir;Czesemirze;M
Czesław;Czesławie;M
Czesława;Czesławo;K
Częstobor;Częstoborze;M
Częstogniew;Częstogniewie;M
Częstomir;Częstomirze;M
Częstowoj;Częstowoju;M
Dacjan;Dacjanie;M
Dadąbog;Dadąbogu;M
Dagmara;Dagmaro;K
Dagna;Dagno;K
Dagobert;Dagobercie;M
Dalebor;Daleborze;M
Dalegor;Dalegorze;M
Dalemir;Dalemirze;M
Dalia;Dalio;K
Dalida;Dalido;K
Damazy;Damazy;M
Damian;Damianie;M
Dan;Danie;M
Daniel;Danielu;M
Daniela;Danielo;K
Danisz;Daniuszu;M
Danuta;Danuto;K
Daria;Dario;K
Dariusz;Dariuszu;M
Darosław;Darosławie;M
Dawid;Dawidzie;M
Dawida;Dawido;K
Dąbrówka;Dąbrówko;K
Delfin;Dalfinie;M
Delfina;Delfino;K
Demetria;Demetrio;K
Demetriusz;Demetriuszu;M
Demokryt;Demokrycie;M
Dersław;Deresławie;M
Dezyderia;Dezyderio;K
Dezyderiusz;Dezyderiuszu;M
Dezydery;Dezydery;M
Diana;Diano;K
Dianna;Dianno;K
Dina;Dinno;K
Diogenes;Diogenesie;M
Diomada;Diomado;K
Dionizja;Dionizjo;K
Dionizjusz;Dionizjuszu;M
Dionizy;Dioizy;M
Ditta;Ditto;K
Długosz;Długoszu;M
Dobiegniew;Dobiegniewie;M
Dobiemiest;Dobiemiescie;M
Dobiemir;Dobiemirze;M
Dobiesław;Dobiesławie;M
Dobiesława;Dobiesławo;K
Dobisława;Dobisławo;K
Dobrawa;Dobrawo;K
Dobrocha;Dobrocho;K
Dobrochna;Dobrochno;K
Dobrociech;Dobrociechu;M
Dobrogniew;Dobrogniewie;M
Dobrogost;Dobrogoście;M
Dobromierz;Dobromierzu;M
Dobromił;Dobromile;M
Dobromiła;Dobromiło;K
Dobromir;Dobromirze;M
Dobromira;Dobromiro;K
Dobromysł;Dobromyślu;M
Dobronieg;Dobroniegu;M
Dobroniega;Dobroniego;K
Dobrosław;Dobrosławie;M
Dobrosława;Dobrosławo;K
Dobrowiest;Dobrowieście;M
Dobrowit;Dobrowicie;M
DobrowÃ³j;DobrowÃ³jcie;M
Dobrymir;Dobrymirze;M
Dolores;Dolores;M
Domamir;Domamirze;M
Domarad;Domaradzie;M
Domarat;Domaracie;M
Domasław;Domasławie;M
Domasława;Domasławo;K
Domawit;Domawicie;M
Domicela;Domicelo;K
Domicjan;Domicjanie;M
Dominik;Dominiku;M
Dominika;Dominiko;K
Domisława;Domisławo;K
Domosław;Domosławie;M
Domosława;Domosławo;K
Donat;Donacie;M
Donata;Donato;K
Dorian;Dorianie;M
Doris;Doris;M
Dorota;Doroto;K
Dragomir;Dragomirze;M
Drogomił;Drogomirze;M
Drogomir;Drogomirze;M
Drogomysł;Drogomysławie;M
Drogosław;Drogosławie;M
Drogosława;Drogosławo;K
Duszan;Duszanie;M
Dymitr;Dymitrze;M
Dymitriusz;Dymitriuszu;M
Dytrych;Dytrychu;M
Dyzma;Dyzmo;K
Dziersław;Dziersławie;M
Dziersława;Dziersławo;K
Dzierżykraj;Dzierżykraju;M
Dzierżymir;Dzierżymirze;M
Dzierżysław;Dzierżysławie;M
Dzierżysława;Dzierżysławo;K
Eberhard;Eberhardzie;M
Edda;Eddo;K
Edgar;Edgardzie;M
Edmund;Edmundzie;M
Edward;Edwardzie;M
Edwin;Edwinie;M
Edyta;Edyto;K
Efrem;Efremie;M
Egbert;Egbercie;M
Egon;Egonie;M
Eleonora;Eleonoro;K
Eliasz;Eliaszu;M
Eliga;Eligo;K
Eligiusz;Eligiuszu;M
Eliza;Elizo;K
